feature,value,abnormal,normal,stat,P
Infertility type,0.0,125(42.81%),2652(45.17%),0.5355697514746598,0.4642745868112831
Infertility type,1.0,167(57.19%),3219(54.83%),0.5355697514746598,0.4642745868112831
Male factors cause infertility,0.0,156(53.42%),3111(52.99%),0.007297824135511843,0.9319216876667796
Male factors cause infertility,1.0,136(46.58%),2760(47.01%),0.007297824135511843,0.9319216876667796
Female factors cause infertility,0.0,34(11.64%),1320(22.48%),18.43794115159015,1.7552804800340724e-05
Female factors cause infertility,1.0,258(88.36%),4551(77.52%),18.43794115159015,1.7552804800340724e-05
Classification of T,0.0,33(14.6%),505(9.67%),5.382605150718747,0.020338485699676237
Classification of T,1.0,193(85.4%),4718(90.33%),5.382605150718747,0.020338485699676237
Classification of P,0.0,101(37.41%),1898(34.59%),0.7806860958756583,0.37693138940044557
Classification of P,1.0,169(62.59%),3589(65.41%),0.7806860958756583,0.37693138940044557
Type of semen,1.0,283(96.92%),5765(98.19%),1.8279208343677709,0.17637332367902478
Type of semen,2.0,9(3.08%),106(1.81%),1.8279208343677709,0.17637332367902478
Liquefying time,0.0,258(95.2%),5202(95.0%),9.15788941701332e-05,0.9923646116610494
Liquefying time,1.0,13(4.8%),274(5.0%),9.15788941701332e-05,0.9923646116610494
Sperm source,1.0,274(93.84%),5490(93.51%),0.00971115088741166,0.9214994045694609
Sperm source,2.0,18(6.16%),381(6.49%),0.00971115088741166,0.9214994045694609
Concentration before semen optimization treatment,1.0,24(8.22%),509(8.67%),1.5981136870666528,0.8091311253803136
Concentration before semen optimization treatment,2.0,1(0.34%),26(0.44%),1.5981136870666528,0.8091311253803136
Concentration before semen optimization treatment,3.0,4(1.37%),88(1.5%),1.5981136870666528,0.8091311253803136
Concentration before semen optimization treatment,4.0,8(2.74%),104(1.77%),1.5981136870666528,0.8091311253803136
Concentration before semen optimization treatment,5.0,255(87.33%),5144(87.62%),1.5981136870666528,0.8091311253803136
Concentration after semen optimization treatment,1.0,24(8.22%),510(8.69%),14.162463640189538,0.006794189575927366
Concentration after semen optimization treatment,2.0,148(50.68%),2751(46.86%),14.162463640189538,0.006794189575927366
Concentration after semen optimization treatment,3.0,86(29.45%),2200(37.47%),14.162463640189538,0.006794189575927366
Concentration after semen optimization treatment,4.0,10(3.42%),124(2.11%),14.162463640189538,0.006794189575927366
Concentration after semen optimization treatment,5.0,24(8.22%),286(4.87%),14.162463640189538,0.006794189575927366
